:centre,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham
:days,0.0,1.0,9.0,10.0,16.0,18.0,21.0,25.0,26.0,42.0,56.0,57.0,69.0,70.0,80.0,105.0,114.0,121.0,122.0,138.0,157.0,173.0,177.0,193.0,237.0,276.0,289.0,292.0,297.0,303.0,310.0,403.0,439.0,517.0,553.0,558.0,723.0,732.0,827.0,1258.0,1572.0,1825.0
:cif-survival,1.0,0.9671865804669704,0.9507856044219115,0.9345722293688247,0.9027421683844052,0.8867655079520931,0.8552981632884797,0.8395641418995994,0.8237878844624339,0.8082233129206216,0.7927065057377338,0.7771412423477385,0.7617781253782971,0.746499393160801,0.7314407062206927,0.7161976751171686,0.7011371934474866,0.686037247500897,0.6710363412607079,0.6561561545718715,0.6413853902667066,0.6121329419035527,0.5975027418935683,0.5830651631708994,0.5688247471324465,0.5547436113614586,0.5408565067747154,0.527037337285379,0.5134172317869664,0.49997848572326914,0.4866619983544992,0.4726521861427625,0.4588010740577389,0.4320292881346191,0.41880747795243384,0.4056540326630729,0.3914859979414761,0.3772804292299243,0.362025927908045,0.3454286483147827,0.3229164257152233,0.3229164257152233
