:centre,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester,Leicester
:days,0.0,11.0,15.0,51.0,99.0,125.0,159.0,181.0,193.0,234.0,249.0,271.0,374.0,501.0,554.0,558.0,578.0,648.0,815.0,820.0,832.0,835.0,874.0,882.0,934.0,1002.0,1064.0,1123.0,1135.0,1599.0,1650.0
:cif-survival,1.0,0.9991526939,0.9983027396,0.9974464747,0.9965715357,0.9956938579,0.9948105468,0.9939240231,0.9930340116,0.9921371565,0.9912369808,0.9903334565,0.9894082076,0.9884659015,0.9875191318,0.9865625024,0.9856006524,0.9846086863,0.983454283,0.982299111,0.9811387912,0.9799730839,0.9788016924,0.9776195775,0.9764363589,0.9752106069,0.9739160475,0.9725431761,0.9711657862,0.9694013897,0.9676243236
