:centre,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
:days,0.0,5.0,12.0,27.0,29.0,58.0,81.0,135.0,153.0,207.0,208.0,209.0,242.0,246.0,258.0,260.0,303.0,336.0,355.0,381.0,408.0,429.0,440.0,453.0,477.0,489.0,513.0,539.0,561.0,567.0,687.0,689.0,804.0,844.0,881.0,923.0,946.0,972.0,981.0,1011.0,1042.0,1153.0,1195.0,1201.0,1303.0,1314.0,1320.0,1378.0,1409.0,1457.0,1503.0,1659.0,1704.0,1757.0
:cif-survival,1.0,0.9994120595,0.9988192207,0.9982217739,0.9976200482,0.9970131649,0.9964025908,0.9957882004,0.995172711,0.9945511357,0.9939273502,0.9933028424,0.99267779,0.9920506391,0.9914170885,0.9907834148,0.9901444114,0.9895003425,0.9888524786,0.9881734789,0.9874805313,0.986779738,0.9860735129,0.9853669969,0.9846603243,0.983950887,0.983240816,0.9825301081,0.9818173081,0.9811047696,0.9803769867,0.9796480309,0.9788050319,0.9779606479,0.9771121767,0.9762498637,0.9753837456,0.9745093994,0.973631433,0.9727517296,0.9718643519,0.9707456183,0.9696236052,0.9684996997,0.9673604621,0.9662091687,0.9650551004,0.9638948541,0.9627167599,0.9614995454,0.9600491617,0.9585229102,0.9569900002,0.9554438569
