:centre,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London,The Royal London
:days,0.0,8.0,9.0,13.0,14.0,21.0,54.0,72.0,83.0,110.0,113.0,119.0,141.0,222.0,234.0,279.0,287.0,289.0,297.0,324.0,430.0,631.0,634.0,662.0,704.0,882.0,885.0,935.0,937.0,1095.0,1300.0,1403.0,1416.0,1431.0
:cif-survival,1.0,0.9989109894,0.9978107945,0.9967013799,0.9955916079,0.9944805361,0.9933655028,0.9922475298,0.9911062302,0.9899612029,0.9888113337,0.9876571966,0.9865035072,0.9853399662,0.9841745828,0.9829830131,0.9817856084,0.9805874849,0.9793859748,0.9781803547,0.9769062885,0.9755853204,0.9742608007,0.9729150747,0.9714914005,0.969915417,0.9683389752,0.9667431637,0.9651448042,0.9631686578,0.9610638629,0.9588091895,0.9565081356,0.9541503137
