rec_unit,time,tx_surv,dth_surv,rem_surv
Belfast,1099,0.52880973,0.873579235,0.89460227
Belfast,1102,0.514752593,0.873579235,0.89460227
Belfast,1118,0.514752593,0.86055856,0.89460227
Belfast,1131,0.514752593,0.847572427,0.89460227
Belfast,1142,0.514752593,0.834638353,0.89460227
Belfast,1145,0.507506383,0.834638353,0.89460227
Belfast,1147,0.500226774,0.834638353,0.89460227
Belfast,1148,0.500226774,0.821138015,0.89460227
Belfast,1158,0.492882292,0.821138015,0.89460227
Belfast,1161,0.48557175,0.821138015,0.884522347
Belfast,1168,0.478089183,0.821138015,0.884522347
Belfast,1171,0.470515112,0.821138015,0.884522347
Belfast,1183,0.462911474,0.821138015,0.884522347
Belfast,1186,0.462911474,0.821138015,0.873778978
Belfast,1203,0.462911474,0.821138015,0.862834221
Belfast,1211,0.455196261,0.821138015,0.862834221
Belfast,1217,0.447289957,0.821138015,0.862834221
Belfast,1240,0.439402937,0.821138015,0.862834221
Belfast,1245,0.423701055,0.821138015,0.862834221
Belfast,1253,0.41557487,0.821138015,0.862834221
Belfast,1254,0.407413064,0.821138015,0.862834221
Belfast,1255,0.407413064,0.803582685,0.862834221
Belfast,1258,0.399266543,0.803582685,0.862834221
Belfast,1260,0.391178601,0.803582685,0.862834221
Belfast,1267,0.383050063,0.803582685,0.862834221
Belfast,1282,0.37498056,0.803582685,0.862834221
Belfast,1296,0.366975668,0.803582685,0.862834221
Belfast,1307,0.359075505,0.803582685,0.862834221
Belfast,1327,0.351163221,0.803582685,0.862834221
Belfast,1335,0.343239474,0.803582685,0.862834221
Belfast,1341,0.335239574,0.803582685,0.862834221
Belfast,1347,0.327215573,0.803582685,0.862834221
Belfast,1350,0.319196393,0.803582685,0.862834221
Belfast,1366,0.319196393,0.803582685,0.847862509
Belfast,1370,0.310766304,0.803582685,0.847862509
Belfast,1396,0.302322934,0.803582685,0.847862509
Belfast,1401,0.293932086,0.803582685,0.847862509
Belfast,1406,0.293932086,0.803582685,0.830239117
Belfast,1413,0.285648774,0.803582685,0.830239117
Belfast,1415,0.277428278,0.803582685,0.830239117
Belfast,1422,0.269146811,0.803582685,0.830239117
Belfast,1434,0.260865364,0.803582685,0.830239117
Belfast,1448,0.260865364,0.775037859,0.830239117
Belfast,1452,0.252204954,0.775037859,0.830239117
Belfast,1454,0.243439387,0.775037859,0.808431109
Belfast,1455,0.243439387,0.775037859,0.785443733
Belfast,1458,0.234080232,0.775037859,0.785443733
Belfast,1463,0.234080232,0.775037859,0.762495253
Belfast,1469,0.234080232,0.775037859,0.737079655
Belfast,1473,0.223812557,0.775037859,0.737079655
Belfast,1481,0.213364069,0.775037859,0.737079655
Belfast,1499,0.202415123,0.775037859,0.737079655
Belfast,1527,0.191564395,0.775037859,0.737079655
Belfast,1541,0.180563337,0.775037859,0.737079655
Belfast,1547,0.169173913,0.775037859,0.737079655
Belfast,1558,0.157947932,0.775037859,0.737079655
Belfast,1596,0.14690352,0.775037859,0.737079655
Belfast,1624,0.14690352,0.703508709,0.737079655
Belfast,1631,0.134608064,0.703508709,0.737079655
Belfast,1775,0.121877813,0.703508709,0.737079655
Belfast,1776,0.109412671,0.703508709,0.737079655
Belfast,1824,0.097393347,0.703508709,0.737079655
Belfast,1826,0.097393347,0.703508709,0.737079655
Newcastle,0,1,1,1
Newcastle,3,0.995393978,1,1
Newcastle,6,0.990789158,1,1
Newcastle,7,0.986122598,1,1
Newcastle,10,0.983786126,1,1
Newcastle,11,0.981445361,1,1
Newcastle,12,0.979093104,1,1
Newcastle,15,0.976738645,1,1
Newcastle,18,0.974380547,1,1
Newcastle,21,0.972025026,1,1
Newcastle,22,0.964939404,1,1
Newcastle,24,0.962565696,1,1
Newcastle,30,0.960188719,1,1
Newcastle,34,0.957813308,1,1
Newcastle,38,0.953059841,1,1
Newcastle,42,0.950672387,1,1
Newcastle,47,0.945883768,1,1
Newcastle,55,0.943480579,1,1
Newcastle,58,0.938659591,1,1
Newcastle,63,0.938659591,1,0.99582903
Newcastle,64,0.936200591,1,0.99582903
Newcastle,65,0.933738213,1,0.99582903
Newcastle,66,0.931259934,1,0.99582903
Newcastle,72,0.928772214,1,0.99582903
Newcastle,73,0.923808109,1,0.99582903
Newcastle,78,0.918812423,1,0.99582903
Newcastle,79,0.913796762,1,0.99582903
Newcastle,82,0.911272859,1,0.99582903
Newcastle,84,0.908747161,1,0.99582903
Newcastle,86,0.908747161,0.996700659,0.99582903
Newcastle,89,0.906212623,0.996700659,0.99582903
Newcastle,90,0.903667726,0.996700659,0.99582903
Newcastle,93,0.901121243,0.99338087,0.99582903
Newcastle,94,0.898547211,0.99338087,0.99582903
Newcastle,100,0.893385463,0.99338087,0.99582903
Newcastle,109,0.890786975,0.99338087,0.99582903
Newcastle,114,0.88819016,0.99338087,0.99582903
Newcastle,118,0.880429392,0.99338087,0.99582903
Newcastle,129,0.877797773,0.99338087,0.99582903
Newcastle,132,0.875167754,0.99338087,0.99582903
Newcastle,136,0.86990384,0.99338087,0.99582903
Newcastle,137,0.867248504,0.99338087,0.99582903
Newcastle,140,0.86194596,0.99338087,0.99582903
Newcastle,148,0.856643903,0.99338087,0.99582903
Newcastle,149,0.85398135,0.99338087,0.99582903
Newcastle,154,0.851314161,0.99338087,0.99582903
Newcastle,156,0.851314161,0.99338087,0.993512685
Newcastle,163,0.845993239,0.99338087,0.993512685
Newcastle,164,0.843323527,0.99338087,0.993512685
Newcastle,173,0.840636389,0.99338087,0.993512685
Newcastle,177,0.837943827,0.99338087,0.993512685
Newcastle,189,0.837943827,0.99338087,0.99117082
Newcastle,191,0.832512697,0.99338087,0.99117082
Newcastle,193,0.829782899,0.99338087,0.99117082
