:centre,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford
:days,0.0,24.0,35.0,92.0,95.0,101.0,174.0,208.0,224.0,226.0,247.0,276.0,294.0,301.0,359.0,379.0,427.0,464.0,490.0,501.0,515.0,519.0,544.0,586.0,652.0,658.0,677.0,694.0,742.0,772.0,784.0,808.0,812.0,840.0,889.0,908.0,937.0,1029.0,1191.0,1251.0,1533.0,1558.0,1592.0,1774.0,1779.0
:cif-survival,1.0,0.9994743176,0.9989476514,0.9984071445,0.9978634897,0.9973157384,0.9967660192,0.9962139074,0.9956603315,0.9951055179,0.9945498995,0.9939925999,0.9934350421,0.9928735065,0.9922820051,0.9916493267,0.9909841026,0.9903143683,0.9896408476,0.9889630556,0.9882826806,0.9875997256,0.9869162651,0.98622218,0.9854973157,0.9847673847,0.9840180935,0.9832342291,0.9823929173,0.9815205847,0.9806411343,0.9797567281,0.9788704358,0.9779737328,0.9770689788,0.9761623234,0.9752515351,0.9742848605,0.9731298172,0.9719592311,0.970383917,0.9687952111,0.9671871739,0.9654708463,0.963744566
