:centre,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh
:days,0.0,106.0,127.0,359.0,939.0,1073.0,1076.0,1128.0,1291.0,1593.0,1652.0
:cif-survival,1.0,0.999023666,0.9980440186,0.996969126,0.995383187,0.9936244897,0.9918474518,0.9899039302,0.9878681057,0.9852824491,0.9826647757
