:centre,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield
:days,0.0,5.0,11.0,13.0,89.0,253.0,322.0,568.0,602.0,819.0,852.0,1051.0,1090.0,1391.0,1806.0
:cif-survival,1.0,0.9988116671,0.9976216785,0.9964189334,0.9952009008,0.9939493538,0.9926808796,0.9912389389,0.9897747331,0.9880318848,0.9862840465,0.9843939179,0.9823876389,0.9800297574,0.9767437176
