:centre,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC,WLRTC
:days,0.0,8.0,12.0,31.0,36.0,41.0,57.0,128.0,138.0,174.0,180.0,194.0,235.0,273.0,293.0,311.0,313.0,359.0,361.0,406.0,424.0,429.0,440.0,461.0,462.0,477.0,537.0,574.0,594.0,596.0,614.0,625.0,678.0,680.0,715.0,716.0,741.0,760.0,826.0,831.0,864.0,888.0,914.0,975.0,1012.0,1036.0,1054.0,1093.0,1143.0,1214.0,1245.0,1317.0,1341.0,1394.0,1598.0,1609.0,1620.0,1636.0,1677.0,1679.0,1735.0,1763.0
:cif-survival,1.0,0.9994981996,0.9989958617,0.998491513,0.9979858357,0.9974796401,0.9969712417,0.9964529339,0.9959338896,0.9954141551,0.9948920359,0.9943689972,0.9938448872,0.9933123035,0.992772417,0.9922292891,0.9916857963,0.9911250415,0.990561456,0.9899953891,0.9894280256,0.9888571506,0.9882796335,0.9876994502,0.9871193307,0.986537354,0.9859503185,0.9853617632,0.9847712103,0.9841802489,0.9835857056,0.9829900717,0.9823759495,0.981759346,0.9810726478,0.9803846114,0.9796598352,0.9789309474,0.9781969102,0.9774615338,0.9767214738,0.9759766175,0.9752296712,0.9744778008,0.9737162895,0.9729228655,0.972092961,0.9711716568,0.9702199627,0.969249622,0.9682587013,0.9672523701,0.9662434092,0.965203397,0.9638251322,0.9624462495,0.9610593941,0.9596670596,0.9582591899,0.9568423913,0.9554031688,0.9539228546
