:centre,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast
:days,0.0,0.0,5.0,6.0,8.0,328.0,394.0,433.0,531.0,561.0,684.0,734.0,801.0,858.0,978.0,1287.0,1378.0
:cif-graft,1.0,0.95491726,0.9506323132,0.94635089,0.9420750788,0.9373389136,0.9321883409,0.9269014417,0.9215873156,0.9162519934,0.9108129888,0.9048419938,0.8983158711,0.8917370435,0.8850375114,0.8768265745,0.8684909142
