:centre,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast
:days,0.0,31.0,79.0,126.0,151.0,263.0,386.0,394.0,426.0,482.0,664.0,756.0,925.0,1030.0,1062.0,1249.0,1311.0,1421.0,1727.0,1776.0
:cif-survival,1.0,0.9987611141,0.9974747817,0.9961469916,0.9948185888,0.9934876594,0.9920096765,0.9904746037,0.9889035091,0.9872867846,0.9856432799,0.9838061935,0.9818376974,0.9798154072,0.9777578477,0.9754277942,0.9730212047,0.9704679734,0.9665176854,0.9618081457
