:centre,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth
:days,0.0,3.0,4.0,41.0,46.0,56.0,106.0,120.0,156.0,203.0,244.0,318.0,344.0,495.0,581.0,585.0,1092.0,1329.0,1529.0,1761.0
:cif-survival,1.0,0.9987447211,0.9974832697,0.9962108495,0.9949286531,0.9936409249,0.9922155838,0.9907552763,0.9892866617,0.9877963116,0.9862818739,0.9847519402,0.9831784444,0.9815188347,0.9798330819,0.9781237202,0.9753751827,0.9722681526,0.9676524893,0.9629732838
