:centre,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff
:days,0.0,5.0,17.0,20.0,27.0,30.0,33.0,41.0,50.0,66.0,70.0,92.0,107.0,140.0,250.0,253.0,306.0,440.0,463.0,483.0,514.0,571.0,584.0,594.0,600.0,608.0,623.0,642.0,701.0,733.0,754.0,779.0,928.0,946.0,1034.0,1063.0,1156.0,1185.0,1186.0,1263.0,1280.0,1434.0,1456.0,1490.0,1509.0,1512.0,1550.0,1568.0,1632.0,1645.0,1676.0,1680.0,1727.0,1758.0,1768.0
:cif-survival,1.0,0.999249331,0.9984962549,0.9977405223,0.996978904,0.9962160322,0.9954509994,0.99468216,0.9939116025,0.9931332966,0.9923482898,0.9915631388,0.990769548,0.9899645309,0.9891510731,0.9883374922,0.9875152356,0.9866649123,0.9858126757,0.9849573782,0.9840992209,0.9832374391,0.9823701678,0.9814998133,0.9806286325,0.9797564112,0.97888226,0.9779975824,0.9770775206,0.9761149158,0.975136192,0.9741576479,0.9731669799,0.9721671249,0.9711305953,0.9700751586,0.9689687708,0.9678503803,0.9667307643,0.9655972356,0.9644640616,0.9632613658,0.9620363982,0.9607239803,0.9593894646,0.9580447732,0.956690484,0.9553272677,0.9539565031,0.9525654217,0.9511573993,0.9497356051,0.9482710064,0.9466593194,0.9449891951
