:centre,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds,Leeds
:days,0.0,15.0,36.0,66.0,95.0,114.0,132.0,149.0,152.0,177.0,189.0,227.0,365.0,385.0,411.0,597.0,598.0,623.0,646.0,687.0,709.0,817.0,870.0,908.0,956.0,969.0,1028.0,1067.0,1089.0,1165.0,1180.0,1232.0,1296.0,1319.0,1385.0,1401.0,1501.0,1603.0,1632.0,1633.0,1642.0,1804.0
:cif-survival,1.0,0.9995027222,0.9990046854,0.9985044661,0.998003064,0.996999202,0.9964964237,0.995991381,0.9954853536,0.9949794525,0.9944726171,0.9939620622,0.9934055531,0.9928469016,0.9922854032,0.9917098138,0.991132296,0.9905530877,0.9899714232,0.9893753763,0.9887635477,0.9880996694,0.9874297547,0.98675649,0.9860784319,0.985398203,0.9847112139,0.9839984034,0.9832489565,0.9824584643,0.9816627839,0.9808665753,0.9800657735,0.9792649167,0.9784459284,0.9776163848,0.9765945261,0.9755365276,0.9744766975,0.9734118554,0.970201426,0.968948129
