:centre,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle
:days,0.0,25.0,34.0,52.0,53.0,61.0,79.0,85.0,128.0,133.0,151.0,171.0,251.0,271.0,272.0,301.0,318.0,347.0,349.0,405.0,440.0,454.0,493.0,502.0,518.0,569.0,575.0,580.0,583.0,726.0,772.0,778.0,827.0,1001.0,1004.0,1081.0,1091.0,1103.0,1111.0,1117.0,1131.0,1189.0,1215.0,1224.0,1231.0,1280.0,1349.0,1482.0,1486.0,1513.0,1518.0,1555.0,1568.0,1595.0,1613.0,1685.0,1812.0
:cif-survival,1.0,0.9992700431,0.998533449,0.9977897712,0.9970451885,0.996299503,0.9955472418,0.9947871955,0.9940202231,0.9932482007,0.9924675481,0.9916848409,0.9908980702,0.9901075399,0.9893138057,0.9885120564,0.9877067646,0.986897523,0.9860877976,0.9852357595,0.9843698777,0.9835007295,0.9826312973,0.9817584464,0.9808792654,0.9799882216,0.9790959953,0.978200691,0.977301225,0.9763027971,0.97519075,0.9740731597,0.9729252178,0.9717534028,0.9705792226,0.9692743728,0.9679541369,0.9666043784,0.9652350726,0.9638379068,0.9624180649,0.9609679663,0.9595046194,0.9580235931,0.9565318183,0.9550093577,0.9534817494,0.9517206952,0.9498910431,0.9480024178,0.9461074865,0.9442065085,0.9422692726,0.9403190295,0.9383698646,0.9363960571,0.9341413226
