:centre,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle
:days,0.0,0.0,1.0,34.0,46.0,52.0,53.0,61.0,72.0,89.0,111.0,131.0,156.0,270.0,272.0,284.0,294.0,301.0,347.0,357.0,366.0,440.0,521.0,574.0,580.0,653.0,736.0,747.0,814.0,939.0,1040.0,1081.0,1103.0,1253.0,1262.0,1275.0,1294.0,1453.0,1524.0,1545.0,1595.0,1613.0,1676.0,1710.0,1780.0
:cif-graft,1.0,0.9797265852,0.9771564312,0.9745585795,0.9719435267,0.9693313201,0.9667203378,0.9641116267,0.9614975893,0.9588661655,0.9562309636,0.9535823442,0.950905499,0.948216007,0.9455217173,0.9428299188,0.940139498,0.937444473,0.9347197247,0.9319732661,0.9292125064,0.9263408136,0.9234395976,0.9205267759,0.9176057325,0.9146706331,0.9080086093,0.9045895468,0.9010624849,0.8975296485,0.8938879347,0.8899369292,0.8859580339,0.8816334491,0.8773080903,0.8729881517,0.868655185,0.8638974971,0.8586549235,0.853411762,0.8480961986,0.8427966226,0.8374626326,0.8320988907,0.8264977072
