:centre,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free,The Royal Free
:days,0.0,1.0,5.0,10.0,11.0,80.0,97.0,100.0,123.0,160.0,202.0,251.0,267.0,284.0,416.0,437.0,600.0,674.0,698.0,712.0,784.0,855.0,981.0,1080.0,1281.0,1365.0,1760.0
:cif-survival,1.0,0.9992720271,0.9985352698,0.9977943401,0.9970516568,0.9962955867,0.9955072052,0.9947138142,0.9939153989,0.9931088975,0.9922962766,0.9914748256,0.9906452061,0.9898039408,0.9888894053,0.9879676796,0.9870155167,0.9860568779,0.9850738555,0.9840820697,0.9829682656,0.9818332993,0.9806930759,0.9794741106,0.9780238253,0.9765152194,0.9743243808
