:centre,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
:days,0.0,0.0,1.0,12.0,30.0,118.0,130.0,138.0,156.0,167.0,169.0,175.0,180.0,195.0,222.0,238.0,382.0,393.0,452.0,464.0,470.0,481.0,503.0,549.0,591.0,612.0,620.0,651.0,705.0,918.0,946.0,993.0,1052.0,1056.0,1111.0,1123.0,1126.0,1199.0,1253.0,1319.0,1453.0,1474.0,1545.0,1726.0,1728.0,1764.0
:cif-survival,1.0,0.9991802733,0.9983544015,0.9975282165,0.9966977968,0.9958525918,0.9950070152,0.9941501526,0.9932890169,0.9924236335,0.9915515751,0.9906729657,0.9897864607,0.9888935731,0.9879854473,0.987068861,0.9860849132,0.9850930324,0.9841011816,0.9831045482,0.9820984706,0.9810834568,0.980067796,0.9790379356,0.9779976176,0.9769501266,0.975895242,0.9748337202,0.9736850859,0.9723709577,0.9710562147,0.9696961859,0.9682445438,0.9667663491,0.965183687,0.963584111,0.9619691957,0.9603211737,0.9586702197,0.9570106322,0.9550840686,0.9530663014,0.9510183397,0.9488319338,0.9466355011,0.9442091913
