:centre,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth
:days,0.0,5.0,24.0,37.0,81.0,85.0,89.0,103.0,119.0,121.0,129.0,137.0,159.0,231.0,285.0,327.0,370.0,562.0,610.0,817.0,880.0,914.0,1039.0,1164.0,1225.0,1268.0,1294.0,1401.0,1428.0,1465.0,1562.0,1732.0
:cif-survival,1.0,0.9991950217,0.9983884938,0.9975769801,0.9967541383,0.9959260389,0.9950909091,0.994214479,0.993318006,0.9924165727,0.9915117853,0.9906046978,0.9896924361,0.9887664021,0.9878374392,0.9868907191,0.9858938395,0.9848170429,0.9837279973,0.9825033248,0.9812733331,0.9800073449,0.9786981112,0.9769802554,0.9752459324,0.9734768421,0.9716521965,0.9697605055,0.9677626412,0.9655806192,0.9627190166,0.9595707878
