:centre,:days,:cif-transplant,:cif-removal,:cif-death,:cif-all
Belfast,656.0,0.235829295,0.0387940784,0.0357372802,0.3207639739
Belfast,657.0,0.235829295,0.0387940784,0.0393502257,0.3247804417
Belfast,664.0,0.2401736716,0.0387940784,0.0393502257,0.3287930086
Belfast,666.0,0.2401736716,0.0387940784,0.0429586061,0.332799596
Belfast,670.0,0.24451659,0.0387940784,0.0429586061,0.3368128309
Belfast,689.0,0.248859568,0.0387940784,0.0429586061,0.3408221007
Belfast,690.0,0.248859568,0.0414660179,0.0429586061,0.344852193
Belfast,691.0,0.248859568,0.0414660179,0.0465669107,0.3488902293
Belfast,693.0,0.248859568,0.0441372615,0.0465669107,0.3529152418
Belfast,694.0,0.253246815,0.0441372615,0.0465669107,0.3569523185
Belfast,700.0,0.253246815,0.0441372615,0.0501700911,0.3609810288
Belfast,701.0,0.2576305655,0.0441372615,0.0501700911,0.364989867
Belfast,715.0,0.262011173,0.0441372615,0.0501700911,0.369014394
Belfast,725.0,0.262011173,0.0468336987,0.0501700911,0.3730252468
Belfast,732.0,0.2663758267,0.0468336987,0.0501700911,0.3770239046
Belfast,735.0,0.2707679547,0.0468336987,0.0501700911,0.3810391921
Belfast,737.0,0.2707679547,0.0495360789,0.0501700911,0.3850567389
Belfast,738.0,0.2751602945,0.0495360789,0.0501700911,0.3890618113
Belfast,739.0,0.2751602945,0.0522444454,0.0501700911,0.3930650134
Belfast,747.0,0.2795602771,0.0522444454,0.0501700911,0.3970508125
Belfast,748.0,0.2795602771,0.0522444454,0.0537998469,0.4010427595
Belfast,756.0,0.2839801601,0.0522444454,0.0537998469,0.4050163468
Belfast,762.0,0.2884202489,0.0522444454,0.0537998469,0.4089961261
Belfast,764.0,0.2928515602,0.0522444454,0.0537998469,0.4129636502
Belfast,765.0,0.2972655,0.0522444454,0.0537998469,0.4169169126
Belfast,776.0,0.301671927,0.0522444454,0.0537998469,0.4208670967
Belfast,777.0,0.3060949566,0.0522444454,0.0537998469,0.4248184356
Belfast,808.0,0.3105172547,0.0522444454,0.0537998469,0.4287665578
Belfast,809.0,0.3105172547,0.054978586,0.0537998469,0.4327240352
Belfast,810.0,0.3193166525,0.054978586,0.0537998469,0.4405838987
Belfast,820.0,0.3193166525,0.0577240857,0.0537998469,0.4445087936
Belfast,821.0,0.3237184779,0.0577240857,0.0537998469,0.4484238751
Belfast,825.0,0.3237184779,0.0577240857,0.0574468191,0.4523246572
Belfast,832.0,0.332471145,0.0577240857,0.0610861168,0.4640220572
Belfast,837.0,0.3368620537,0.0577240857,0.0610861168,0.467931427
Belfast,857.0,0.3412590101,0.0577240857,0.0610861168,0.4718558681
Belfast,861.0,0.345646649,0.0577240857,0.0610861168,0.4757708162
Belfast,886.0,0.345646649,0.0577240857,0.0647297792,0.4796861773
Belfast,888.0,0.3500421212,0.0577240857,0.0647297792,0.4835951491
Belfast,893.0,0.3544288029,0.0577240857,0.0647297792,0.487492452
Belfast,901.0,0.3588092703,0.0577240857,0.0647297792,0.4914192971
Belfast,905.0,0.3631814205,0.0577240857,0.0647297792,0.4953477155
Belfast,910.0,0.3675354872,0.0577240857,0.0683963298,0.503150596
Belfast,917.0,0.3675354872,0.0604789435,0.0683963298,0.5070508656
Belfast,925.0,0.3675354872,0.0632630866,0.0683963298,0.5109436098
Belfast,927.0,0.3718824432,0.0632630866,0.0683963298,0.5148374271
Belfast,931.0,0.3762218632,0.0660509364,0.0683963298,0.5225779821
Belfast,935.0,0.3805800859,0.0660509364,0.0683963298,0.5264657928
Belfast,937.0,0.3849285991,0.0660509364,0.0683963298,0.530340553
Belfast,941.0,0.3892598054,0.0660509364,0.0683963298,0.5342156942
Belfast,952.0,0.3935706047,0.0688476901,0.0683963298,0.5419329086
Belfast,974.0,0.3935706047,0.0716429999,0.0683963298,0.5457999046
Belfast,982.0,0.3978678578,0.0716429999,0.0683963298,0.5496508041
Belfast,993.0,0.3978678578,0.07444437,0.0683963298,0.5535034124
Belfast,996.0,0.4021565884,0.07444437,0.0683963298,0.5573782272
Belfast,997.0,0.4064264579,0.07444437,0.0720649224,0.5650498164
Belfast,999.0,0.4107019309,0.07444437,0.0720649224,0.5688749235
Belfast,1002.0,0.414962704,0.07444437,0.0720649224,0.5726876762
Belfast,1017.0,0.4192046897,0.07444437,0.0720649224,0.5764854757
Belfast,1019.0,0.4234390999,0.07444437,0.0720649224,0.5802767712
Belfast,1024.0,0.4276715753,0.07444437,0.0720649224,0.5840855653
Belfast,1026.0,0.431880752,0.07444437,0.0720649224,0.5878806545
Belfast,1029.0,0.4360661867,0.07444437,0.0720649224,0.5916494057
Belfast,1030.0,0.4402440264,0.07444437,0.0720649224,0.5954115144
Belfast,1034.0,0.4486076566,0.07444437,0.0720649224,0.6029515959
Belfast,1035.0,0.4527764062,0.07444437,0.0720649224,0.6067120208
Belfast,1043.0,0.4570093321,0.07444437,0.0720649224,0.6105156022
Belfast,1045.0,0.4612629555,0.07444437,0.0720649224,0.6143256539
Belfast,1055.0,0.4655366521,0.07444437,0.0720649224,0.6181373187
Belfast,1057.0,0.4698317862,0.07444437,0.0720649224,0.6219556113
Belfast,1066.0,0.4741158441,0.07444437,0.0720649224,0.6257622252
Belfast,1070.0,0.4741158441,0.0772643335,0.0720649224,0.629587658
Belfast,1085.0,0.4741158441,0.0772643335,0.0757453976,0.6334321651
Belfast,1090.0,0.4741158441,0.0801134075,0.0757453976,0.6372713192
Belfast,1099.0,0.4784253666,0.0801134075,0.0757453976,0.641082613
Belfast,1102.0,0.487005031,0.0801134075,0.0757453976,0.6486627024
Belfast,1118.0,0.487005031,0.0801134075,0.0794257157,0.6524477394
Belfast,1131.0,0.487005031,0.0801134075,0.0831155851,0.6562060863
Belfast,1134.0,0.4912732174,0.0801134075,0.0831155851,0.6599447723
Belfast,1142.0,0.4912732174,0.0801134075,0.0868095034,0.6636915603
Belfast,1145.0,0.4955727614,0.0801134075,0.0868095034,0.6674597002
Belfast,1146.0,0.4955727614,0.0829893513,0.0868095034,0.6712173445
Belfast,1147.0,0.4998766937,0.0829893513,0.0868095034,0.6749868719
Belfast,1148.0,0.4998766937,0.0829893513,0.090509909,0.6787652714
Belfast,1158.0,0.5041642718,0.0829893513,0.090509909,0.6825296198
Belfast,1161.0,0.5084344908,0.0858721999,0.090509909,0.6899673531
Belfast,1163.0,0.5127140451,0.0858721999,0.090509909,0.6936993188
Belfast,1168.0,0.517004755,0.0858721999,0.090509909,0.6974282907
Belfast,1171.0,0.5213035118,0.0858721999,0.090509909,0.7011657278
Belfast,1183.0,0.5256023605,0.0858721999,0.090509909,0.7048955405
Belfast,1186.0,0.5256023605,0.0887654705,0.090509909,0.7086121715
Belfast,1187.0,0.5298843009,0.0887654705,0.090509909,0.7123004074
