:centre,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry
:days,0.0,0.0,1.0,71.0,142.0,249.0,266.0,313.0,563.0,701.0,777.0,1143.0,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:cif-graft,1.0,0.9717523119,0.9660182732,0.9600134014,0.953838751,0.9476708429,0.941460946,0.9351562184,0.9280659995,0.9205230648,0.9121137816,0.9019348877,0.8862460003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
