:centre,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry,Coventry
:days,0.0,11.0,13.0,46.0,50.0,72.0,133.0,138.0,172.0,313.0,333.0,1369.0,1395.0,1408.0,1433.0,1729.0
:cif-survival,1.0,0.9981175772,0.9962281255,0.9943338188,0.9923831504,0.9903816283,0.9883338576,0.9862686239,0.984188874,0.982019428,0.9797964881,0.9763407872,0.97276397,0.968971281,0.9651142681,0.9604281737
