:centre,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham
:days,0.0,0.0,8.0,44.0,62.0,74.0,78.0,85.0,94.0,187.0,218.0,220.0,395.0,460.0,473.0,642.0,644.0,662.0,712.0,744.0,762.0,793.0,825.0,965.0,985.0,1015.0,1282.0,1292.0,1347.0,1355.0,1546.0,1703.0,1718.0,1782.0,1794.0,1800.0
:cif-survival,1.0,0.9994136663,0.998781638,0.998138508,0.9968461158,0.9961938937,0.9955411342,0.9948873903,0.9942280938,0.9935632555,0.9928916306,0.9922179297,0.9915126139,0.9908052134,0.9900941726,0.9893737965,0.9886504821,0.9879207815,0.9871504351,0.9863184878,0.9854519245,0.9845773501,0.9836916731,0.982793,0.9818911635,0.9809821796,0.9798706735,0.9787516487,0.9776071819,0.9764618463,0.9748931372,0.9733112814,0.9717126882,0.9699975102,0.9682274148,0.9663923716
