:centre,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham
:days,0.0,57.0,103.0,132.0,141.0,156.0,182.0,306.0,396.0,539.0,554.0,628.0,721.0,891.0,934.0,1041.0,1056.0,1139.0,1381.0,1443.0,1704.0,1711.0
:cif-survival,1.0,0.9991479556,0.9982546495,0.9973484335,0.9964401323,0.9955304772,0.9946162863,0.9936833523,0.9926386956,0.9915524296,0.9904632461,0.9893688581,0.9882240705,0.9869232152,0.9856076591,0.984257016,0.9828977184,0.9813672237,0.9797962895,0.9781866679,0.9763148502,0.9744391167
