rec_unit,time,tx_surv,dth_surv,rem_surv
Belfast,1085,0.465104692,0.883632404,0.872777958
Belfast,1090,0.465104692,0.883632404,0.863273483
Belfast,1099,0.457176098,0.883632404,0.863273483
Belfast,1102,0.441478623,0.883632404,0.863273483
Belfast,1131,0.441478623,0.872916373,0.863273483
Belfast,1142,0.441478623,0.862185136,0.863273483
Belfast,1145,0.433477061,0.862185136,0.863273483
Belfast,1161,0.42552618,0.862185136,0.863273483
Belfast,1163,0.417544497,0.862185136,0.863273483
Belfast,1186,0.417544497,0.862185136,0.852509848
Belfast,1187,0.409512646,0.862185136,0.852509848
Belfast,1205,0.401573677,0.862185136,0.852509848
Belfast,1217,0.39362804,0.862185136,0.852509848
Belfast,1245,0.38571051,0.849883446,0.852509848
Belfast,1253,0.369507709,0.849883446,0.852509848
Belfast,1254,0.361277176,0.849883446,0.852509848
Belfast,1255,0.353158347,0.836512704,0.852509848
Belfast,1258,0.345043516,0.836512704,0.852509848
Belfast,1280,0.337024434,0.836512704,0.852509848
Belfast,1282,0.328990577,0.836512704,0.852509848
Belfast,1286,0.328990577,0.836512704,0.839128065
Belfast,1296,0.32092702,0.836512704,0.839128065
Belfast,1303,0.32092702,0.821126966,0.839128065
Belfast,1307,0.312885064,0.821126966,0.839128065
Belfast,1316,0.312885064,0.821126966,0.82514776
Belfast,1320,0.304627063,0.821126966,0.82514776
Belfast,1327,0.296429445,0.821126966,0.82514776
Belfast,1335,0.288234943,0.821126966,0.82514776
Belfast,1347,0.280041688,0.821126966,0.82514776
Belfast,1350,0.271911494,0.821126966,0.82514776
Belfast,1356,0.271911494,0.821126966,0.809427576
Belfast,1361,0.263632303,0.821126966,0.809427576
Belfast,1366,0.263632303,0.821126966,0.792565728
Belfast,1370,0.255179565,0.821126966,0.792565728
Belfast,1372,0.246820666,0.821126966,0.792565728
Belfast,1396,0.238608453,0.821126966,0.792565728
Belfast,1406,0.238608453,0.821126966,0.771593529
Belfast,1407,0.230476178,0.821126966,0.771593529
Belfast,1415,0.214561949,0.821126966,0.771593529
Belfast,1447,0.206321992,0.821126966,0.771593529
Belfast,1452,0.198255443,0.821126966,0.771593529
Belfast,1454,0.190204839,0.821126966,0.771593529
Belfast,1469,0.190204839,0.821126966,0.747231048
Belfast,1473,0.181928561,0.821126966,0.747231048
Belfast,1481,0.17364993,0.821126966,0.747231048
Belfast,1485,0.17364993,0.821126966,0.720349298
Belfast,1499,0.165088469,0.821126966,0.720349298
Belfast,1541,0.156654986,0.821126966,0.720349298
Belfast,1547,0.14817185,0.821126966,0.720349298
Belfast,1596,0.139922855,0.821126966,0.720349298
Belfast,1624,0.139922855,0.774679838,0.720349298
Belfast,1626,0.131222547,0.774679838,0.720349298
Belfast,1631,0.12245915,0.774679838,0.720349298
Belfast,1674,0.12245915,0.774679838,0.682615882
Belfast,1767,0.11330091,0.774679838,0.682615882
Belfast,1776,0.096002758,0.774679838,0.682615882
Belfast,1824,0.087032259,0.774679838,0.682615882
Belfast,1826,0.087032259,0.774679838,0.682615882
Newcastle,0,1,1,1
Newcastle,3,0.994228035,1,1
Newcastle,6,0.988461601,1,1
Newcastle,10,0.985537037,1,1
Newcastle,11,0.982606137,1,1
Newcastle,15,0.979658638,1,1
Newcastle,18,0.976709024,1,1
Newcastle,21,0.973764927,1,1
Newcastle,22,0.970810212,1,1
Newcastle,24,0.967854139,1,1
Newcastle,37,0.964897276,1,1
Newcastle,38,0.958988437,1,1
Newcastle,42,0.956021074,1,1
Newcastle,47,0.950085151,1,1
Newcastle,50,0.947110158,1,1
Newcastle,54,0.947110158,0.997384113,1
Newcastle,63,0.938183806,0.997384113,0.994737813
Newcastle,65,0.935149782,0.997384113,0.994737813
Newcastle,66,0.932092777,0.997384113,0.994737813
Newcastle,73,0.929021748,0.997384113,0.994737813
Newcastle,78,0.922836213,0.997384113,0.994737813
Newcastle,79,0.916631367,0.997384113,0.994737813
Newcastle,83,0.910400837,0.997384113,0.994737813
Newcastle,86,0.907277143,0.994611297,0.994737813
Newcastle,88,0.904142945,0.994611297,0.994737813
Newcastle,89,0.901014124,0.994611297,0.994737813
Newcastle,93,0.897878158,0.994611297,0.994737813
Newcastle,94,0.894734989,0.994611297,0.994737813
Newcastle,100,0.891576371,0.994611297,0.994737813
Newcastle,102,0.888396484,0.994611297,0.994737813
Newcastle,103,0.885218416,0.994611297,0.994737813
Newcastle,104,0.878865254,0.994611297,0.994737813
Newcastle,109,0.875677378,0.994611297,0.994737813
Newcastle,118,0.869320032,0.994611297,0.994737813
Newcastle,121,0.86610354,0.994611297,0.994737813
Newcastle,127,0.862882599,0.994611297,0.994737813
Newcastle,132,0.859656973,0.994611297,0.991867618
Newcastle,136,0.853189345,0.991665376,0.991867618
