rec_unit,time,surv
UK,1688,0.848756708
UK,1697,0.84829482
UK,1702,0.847832403
UK,1710,0.847368119
UK,1712,0.846903893
UK,1713,0.846439662
UK,1714,0.845975222
UK,1723,0.845509264
UK,1727,0.845042904
UK,1728,0.844576672
UK,1736,0.844109531
UK,1742,0.843640418
UK,1746,0.843170713
UK,1749,0.84269999
UK,1759,0.841754
UK,1772,0.841274871
UK,1778,0.840313603
UK,1783,0.839830326
UK,1793,0.839341041
UK,1801,0.838846735
UK,1816,0.838338792
UK,1817,0.837830835
UK,1824,0.837317042
UK,1826,0.837317042
