:centre,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge,Cambridge
:days,0.0,0.0,1.0,2.0,15.0,23.0,55.0,79.0,90.0,135.0,180.0,201.0,203.0,240.0,263.0,297.0,347.0,396.0,418.0,421.0,444.0,474.0,539.0,634.0,645.0,667.0,672.0,744.0,794.0,838.0,902.0,931.0,934.0,948.0,1014.0,1107.0,1117.0,1141.0,1213.0,1218.0,1225.0,1256.0,1267.0,1301.0,1437.0,1502.0,1512.0,1559.0,1633.0,1637.0,1663.0,1700.0,1711.0,1776.0,1782.0,1784.0,1814.0
:cif-survival,1.0,0.999482158,0.9989546635,0.9984261436,0.9978945855,0.997362802,0.9968272499,0.9962876373,0.9957444809,0.9951930841,0.9946390034,0.9940830392,0.993525328,0.9929671537,0.9924085112,0.9918475887,0.9912788488,0.9906747405,0.9900665284,0.989457573,0.9888476425,0.9882341374,0.9876180079,0.986993559,0.9863650268,0.9857267324,0.9850867266,0.9843849042,0.983653175,0.982919255,0.9821832858,0.9814426686,0.9807011701,0.9799547941,0.9791878103,0.9783519963,0.9775026985,0.9766353276,0.9757620752,0.9748809018,0.9739976544,0.9731123247,0.9722239459,0.9713111333,0.9703707985,0.9693582097,0.9683332382,0.9673055183,0.9662679533,0.9652226396,0.9641703695,0.9631158009,0.9620568239,0.9609125974,0.9597512522,0.9585745138,0.9573150175
